Case_Number,Year,Type,Country,Activity,Sex,Age,Fatal (Y/N),Species,Month,Country_Code,Latitude,Longitude,Season
2018-06-25,2018,Watercraft,UNITED STATES,rowing sports,F,57.0,N,white shark,6,US,38.0,-97.0,Spring
2018-06-18,2018,Unprovoked,UNITED STATES,wading,F,11.0,N,,6,US,38.0,-97.0,Spring
2018-05-27,2018,Unprovoked,UNITED STATES,fishing,M,52.0,N,lemon shark,5,US,38.0,-97.0,Spring
2018-05-26,2018,Unprovoked,UNITED STATES,wading,M,15.0,N,bull shark,5,US,38.0,-97.0,Spring
2018-05-26,2018,Unprovoked,UNITED STATES,wading,M,12.0,N,,5,US,38.0,-97.0,Spring
2018-05-21,2018,Unprovoked,UNITED STATES,surfing,M,10.0,N,,5,US,38.0,-97.0,Spring
2018-05-13,2018,Unprovoked,UNITED STATES,swimming,M,10.0,N,,5,US,38.0,-97.0,Spring
2018-04-19,2018,Unprovoked,UNITED STATES,surfing,M,29.0,N,,4,US,38.0,-97.0,Spring
2018-03-31,2018,Unprovoked,UNITED STATES,rowing sports,M,25.0,N,tiger shark,3,US,38.0,-97.0,Winter
2017-12-31,2017,Unprovoked,UNITED STATES,surfing,F,54.0,N,tiger shark,12,US,38.0,-97.0,Autumn
2017-12-30,2017,Unprovoked,UNITED STATES,surfing,F,35.0,N,,12,US,38.0,-97.0,Autumn
2017-11-24,2017,Unprovoked,UNITED STATES,multiple activities,M,25.0,N,white shark,11,US,38.0,-97.0,Autumn
2017-11-18,2017,Unprovoked,UNITED STATES,surfing,F,14.0,N,,11,US,38.0,-97.0,Autumn
2017-10-26,2017,Unprovoked,UNITED STATES,rowing sports,M,,N,,10,US,38.0,-97.0,Autumn
2017-10-23,2017,Unprovoked,UNITED STATES,surfing,M,17.0,N,,10,US,38.0,-97.0,Autumn
2017-10-23,2017,Unprovoked,UNITED STATES,swimming,F,60.0,N,,10,US,38.0,-97.0,Autumn
2017-10-18,2017,Unprovoked,UNITED STATES,swimming,M,,N,spinner shark,10,US,38.0,-97.0,Autumn
2017-10-09,2017,Unprovoked,UNITED STATES,surfing,M,54.0,N,tiger shark,10,US,38.0,-97.0,Autumn
2017-10-05,2017,Unprovoked,UNITED STATES,snorkeling,F,40.0,N,,10,US,38.0,-97.0,Autumn
2017-09-25,2017,Unprovoked,UNITED STATES,surfing,M,,N,,9,US,38.0,-97.0,Summer
2017-09-24,2017,Unprovoked,UNITED STATES,surfing,M,,N,,9,US,38.0,-97.0,Summer
2017-09-20,2017,Unprovoked,UNITED STATES,surfing,M,,N,,9,US,38.0,-97.0,Summer
2017-09-16,2017,Unprovoked,UNITED STATES,surfing,M,28.0,N,,9,US,38.0,-97.0,Summer
2017-09-13,2017,Unprovoked,UNITED STATES,surfing,M,18.0,N,,9,US,38.0,-97.0,Summer
2017-09-02,2017,Unprovoked,UNITED STATES,swimming,M,,N,nurse shark,9,US,38.0,-97.0,Summer
2017-09-02,2017,Unprovoked,UNITED STATES,swimming,F,,N,,9,US,38.0,-97.0,Summer
2017-09-02,2017,Unprovoked,UNITED STATES,surfing,M,17.0,N,,9,US,38.0,-97.0,Summer
2017-08-27,2017,Unprovoked,UNITED STATES,wading,F,3.0,N,,8,US,38.0,-97.0,Summer
2017-08-23,2017,Unprovoked,UNITED STATES,,M,69.0,N,white shark,8,US,38.0,-97.0,Summer
2017-08-10,2017,Unprovoked,UNITED STATES,swimming,M,13.0,N,blacktip shark,8,US,38.0,-97.0,Summer
2017-08-03,2017,Provoked,UNITED STATES,fishing,M,34.0,N,,8,US,38.0,-97.0,Summer
2017-08-01,2017,Watercraft,UNITED STATES,multiple activities,M,,N,white shark,8,US,38.0,-97.0,Summer
2017-07-31,2017,Unprovoked,UNITED STATES,,M,15.0,N,,7,US,38.0,-97.0,Summer
2017-07-29,2017,Unprovoked,UNITED STATES,,F,12.0,N,,7,US,38.0,-97.0,Summer
2017-07-23,2017,Unprovoked,UNITED STATES,,F,,N,tiger shark,7,US,38.0,-97.0,Summer
2017-07-22,2017,Unprovoked,UNITED STATES,,F,40.0,N,,7,US,38.0,-97.0,Summer
2017-07-20,2017,Watercraft,UNITED STATES,rowing sports,M,40.0,N,white shark,7,US,38.0,-97.0,Summer
2017-07-20,2017,Unprovoked,UNITED STATES,,M,50.0,N,white shark,7,US,38.0,-97.0,Summer
2017-07-14,2017,Unprovoked,UNITED STATES,surfing,M,,N,white shark,7,US,38.0,-97.0,Summer
2017-07-11,2017,Watercraft,UNITED STATES,rowing sports,M,,N,white shark,7,US,38.0,-97.0,Summer
2017-07-09,2017,Unprovoked,UNITED STATES,swimming,M,46.0,N,bull shark,7,US,38.0,-97.0,Summer
2017-06-21,2017,Unprovoked,UNITED STATES,swimming,F,16.0,N,,6,US,38.0,-97.0,Spring
2017-06-19,2017,Unprovoked,UNITED STATES,surfing,M,,N,,6,US,38.0,-97.0,Spring
2017-06-18,2017,Unprovoked,UNITED STATES,swimming,F,14.0,N,bull shark,6,US,38.0,-97.0,Spring
2017-06-10,2017,Unprovoked,UNITED STATES,surfing,M,19.0,N,,6,US,38.0,-97.0,Spring
2017-06-04,2017,Unprovoked,UNITED STATES,multiple activities,M,,N,,6,US,38.0,-97.0,Spring
2017-05-30,2017,Provoked,UNITED STATES,,F,20.0,N,,5,US,38.0,-97.0,Spring
